level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1542	2047	-1	
2	1	1	0	0	0	5	105	1533	1941	-1	
3	1	1	1	0	0	5	105	1537	1120	-1	
4	1	1	1	1	0	607	105	331	80	-1	
5	1	1	1	1	1	607	157	6	3	21.950424	|
5	1	1	1	1	2	630	105	308	80	0.000000	ziedronka)
4	1	1	1	2	0	581	156	346	77	-1	
5	1	1	1	2	1	581	156	62	77	90.395523	(fe
5	1	1	1	2	2	693	171	100	35	40.621681	kodziennie
5	1	1	1	2	3	805	176	54	33	87.347488	niskie
5	1	1	1	2	4	869	174	58	32	39.413628	cel
5	1	1	1	2	5	921	165	8	48	44.869972	/
4	1	1	1	3	0	611	220	873	46	-1	
5	1	1	1	3	1	611	262	5	2	0.000000	n
5	1	1	1	3	2	648	221	10	43	20.952820	‘i
5	1	1	1	3	3	680	227	101	39	46.198547	‘worcowa
5	1	1	1	3	4	797	235	17	23	85.492691	2,
5	1	1	1	3	5	833	226	69	28	84.081352	61-801
5	1	1	1	3	6	920	220	75	22	95.044502	Poznan
5	1	1	1	3	7	1480	235	4	3	77.940079	,
4	1	1	1	4	0	516	260	389	36	-1	
5	1	1	1	4	1	516	272	56	24	96.374382	Sklep
5	1	1	1	4	2	587	264	42	22	83.100746	5130
5	1	1	1	4	3	643	264	31	31	39.066742	U"
5	1	1	1	4	4	687	266	80	30	58.231400	yartins
5	1	1	1	4	5	784	260	72	29	93.380081	Polska
5	1	1	1	4	6	872	261	33	22	69.959839	5.4
4	1	1	1	5	0	346	289	563	46	-1	
5	1	1	1	5	1	346	332	2	3	26.519562	.
5	1	1	1	5	2	587	292	97	40	49.776154	Jeranlf
5	1	1	1	5	3	698	301	15	23	51.858772	5,
5	1	1	1	5	4	733	294	71	26	48.593010	62-025
5	1	1	1	5	5	816	289	93	35	48.593010	Kostrzy
4	1	1	1	6	0	574	317	516	51	-1	
5	1	1	1	6	1	574	328	16	20	96.339478	ul
5	1	1	1	6	2	621	322	51	46	23.596123	nip
5	1	1	1	6	3	685	317	156	38	46.376335	779-10-11-327
5	1	1	1	6	4	1023	327	67	41	30.744080	41677
4	1	1	1	7	0	419	368	519	36	-1	
