level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1700	2200	-1	
2	1	1	0	0	0	429	20	827	2137	-1	
3	1	1	1	0	0	429	20	827	2137	-1	
4	1	1	1	1	0	486	20	770	35	-1	
5	1	1	1	1	1	486	20	75	35	96.306114	Rabat
5	1	1	1	1	2	1190	28	66	22	92.372940	-1,50
4	1	1	1	2	0	1195	65	61	23	-1	
5	1	1	1	2	1	1195	65	61	23	96.949760	3,49
4	1	1	1	3	0	449	116	807	34	-1	
5	1	1	1	3	1	449	116	284	34	91.354813	ProszekUltColo3,25kg
5	1	1	1	3	2	793	121	18	19	95.311775	A
5	1	1	1	3	3	868	121	72	19	96.600357	1.000
5	1	1	1	3	4	957	123	14	14	96.723022	x
5	1	1	1	3	5	1034	120	73	23	96.216011	29,99
5	1	1	1	3	6	1183	120	73	23	96.024818	29,99
4	1	1	1	4	0	449	171	807	34	-1	
5	1	1	1	4	1	449	171	277	34	50.297359	EdenFreshEscapel,8l
5	1	1	1	4	2	793	176	17	19	96.591347	A
5	1	1	1	4	3	868	176	72	19	96.793480	1.000
5	1	1	1	4	4	956	178	16	14	96.723938	x
5	1	1	1	4	5	1051	176	56	22	96.858986	9,99
5	1	1	1	4	6	1200	176	56	22	96.813538	9,99
4	1	1	1	5	0	448	223	808	39	-1	
5	1	1	1	5	1	448	223	268	39	88.909393	ŻelNiveaSport500ml
5	1	1	1	5	2	793	232	18	19	96.601982	A
5	1	1	1	5	3	868	232	72	19	96.987259	1.000
5	1	1	1	5	4	956	234	16	14	96.160088	x
5	1	1	1	5	5	1035	232	72	22	96.441216	17,49
5	1	1	1	5	6	1184	232	72	22	95.469193	17,49
4	1	1	1	6	0	449	270	807	37	-1	
5	1	1	1	6	1	449	270	283	35	40.518456	rairyPtynLemon/>um
5	1	1	1	6	2	793	288	18	19	96.874405	A
5	1	1	1	6	3	868	287	72	20	95.700882	1.000
5	1	1	1	6	4	956	289	16	14	95.848396	x
5	1	1	1	6	5	1035	287	72	20	96.693268	11,49
5	1	1	1	6	6	1184	288	72	19	95.963577	11,49
4	1	1	1	7	0	449	338	807	35	-1	
