level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3299	-1	
2	1	1	0	0	0	644	36	1239	3198	-1	
3	1	1	1	0	0	644	36	1239	3198	-1	
4	1	1	1	1	0	730	36	1153	38	-1	
5	1	1	1	1	1	730	36	112	30	96.055878	Rabat
5	1	1	1	1	2	1784	41	99	33	91.109711	-1,50
4	1	1	1	2	0	1791	96	92	35	-1	
5	1	1	1	2	1	1791	96	92	35	96.588493	3,49
4	1	1	1	3	0	674	180	1208	38	-1	
5	1	1	1	3	1	674	180	426	38	90.979317	ProszekUItColo3,25kg
5	1	1	1	3	2	1189	181	26	28	96.437607	A
5	1	1	1	3	3	1302	180	107	30	96.295357	1.000
5	1	1	1	3	4	1433	184	24	20	96.079323	x
5	1	1	1	3	5	1550	180	109	34	96.115631	29,99
5	1	1	1	3	6	1774	180	108	34	96.288673	29,99
4	1	1	1	4	0	674	263	1208	38	-1	
5	1	1	1	4	1	674	263	415	38	69.833290	EdenFreshEscapel,8l
5	1	1	1	4	2	1189	264	26	28	96.294090	A
5	1	1	1	4	3	1302	263	107	30	96.330215	1.000
5	1	1	1	4	4	1433	266	24	21	96.330215	x
5	1	1	1	4	5	1576	263	83	34	96.625435	9,99
5	1	1	1	4	6	1799	263	83	34	96.728157	9,99
4	1	1	1	5	0	672	341	1210	43	-1	
5	1	1	1	5	1	672	341	402	43	88.775604	ŻelNiveaSport500ml
5	1	1	1	5	2	1189	348	26	28	96.347183	A
5	1	1	1	5	3	1302	347	107	29	96.415878	1.000
5	1	1	1	5	4	1433	350	24	21	96.415878	x
5	1	1	1	5	5	1552	347	107	34	96.642548	17,49
5	1	1	1	5	6	1775	347	107	34	96.700180	17,49
4	1	1	1	6	0	674	513	1208	38	-1	
5	1	1	1	6	1	674	513	415	38	85.739151	MgiełkaD/Ciała200ml
5	1	1	1	6	2	1189	514	26	29	96.596893	A
5	1	1	1	6	3	1302	514	107	29	96.767136	1.000
5	1	1	1	6	4	1433	517	24	21	96.206108	x
5	1	1	1	6	5	1576	514	83	33	96.694687	9,99
5	1	1	1	6	6	1799	514	83	33	96.581177	9,99
4	1	1	1	7	0	670	597	1212	34	-1	
5	1	1	1	7	1	670	597	110	30	96.634186	Torba
5	1	1	1	7	2	796	598	154	29	96.570290	T-SHIRT
5	1	1	1	7	3	1189	598	26	28	96.132812	A
5	1	1	1	7	4	1302	597	107	30	96.345261	1.000
5	1	1	1	7	5	1434	601	23	21	96.345261	x
5	1	1	1	7	6	1576	598	83	33	96.316460	0,79
5	1	1	1	7	7	1799	598	83	33	96.214767	0,79
4	1	1	1	8	0	673	703	1210	38	-1	
5	1	1	1	8	1	673	703	176	38	96.640594	Sprzedaż
5	1	1	1	8	2	865	703	285	38	96.157646	opodatkowana
5	1	1	1	8	3	1167	704	25	29	96.808884	A
5	1	1	1	8	4	1750	704	133	34	96.865494	163,00
4	1	1	1	9	0	674	759	1209	34	-1	
5	1	1	1	9	1	674	760	69	29	96.114159	PTU
5	1	1	1	9	2	760	760	25	28	96.114159	A
5	1	1	1	9	3	801	760	84	29	96.440071	23%
5	1	1	1	9	4	1774	759	109	34	96.415077	30,48
4	1	1	1	10	0	673	815	1208	37	-1	
5	1	1	1	10	1	673	815	176	37	95.917580	Sprzedaż
5	1	1	1	10	2	865	815	285	37	92.841873	opodatkowana
5	1	1	1	10	3	1168	815	24	29	92.133514	C
5	1	1	1	10	4	1774	815	107	34	93.896545	77,52
4	1	1	1	11	0	674	871	1208	33	-1	
5	1	1	1	11	1	674	871	69	29	92.659966	PTU
5	1	1	1	11	2	802	871	57	29	84.375542	C5%
5	1	1	1	11	3	1800	871	82	33	96.581459	3,69
4	1	1	1	12	0	673	926	1210	38	-1	
5	1	1	1	12	1	673	926	176	38	96.568535	Sprzedaż
5	1	1	1	12	2	865	926	285	38	94.999695	opodatkowana
5	1	1	1	12	3	1170	926	83	30	95.682693	brak
5	1	1	1	12	4	1799	926	84	34	96.741447	0,50
4	1	1	1	13	0	674	981	1209	34	-1	
5	1	1	1	13	1	674	982	69	29	96.268951	PTU
5	1	1	1	13	2	763	981	83	30	96.268951	brak
5	1	1	1	13	3	862	982	58	29	96.945427	0%
5	1	1	1	13	4	1799	982	84	33	96.334969	0,00
4	1	1	1	14	0	673	1037	1209	34	-1	
5	1	1	1	14	1	673	1037	106	30	96.931236	Suma
5	1	1	1	14	2	799	1038	69	29	96.320671	PTU
5	1	1	1	14	3	1774	1037	108	34	96.338776	34,17
4	1	1	1	15	0	674	1152	1205	54	-1	
5	1	1	1	15	1	674	1152	168	47	96.275368	Suma
5	1	1	1	15	2	874	1153	107	46	96.345459	PLN
5	1	1	1	15	3	1672	1152	207	54	95.143311	241,02
4	1	1	1	16	0	673	1257	218	31	-1	
5	1	1	1	16	1	673	1258	73	24	95.897453	Kasa
5	1	1	1	16	2	763	1258	14	24	95.307991	1
5	1	1	1	16	3	793	1257	98	31	95.605675	Kasjer
4	1	1	1	17	0	962	1433	595	32	-1	
5	1	1	1	17	1	962	1433	595	32	91.421509	1000046126950219301864
4	1	1	1	18	0	674	1510	1207	37	-1	
5	1	1	1	18	1	674	1511	98	29	96.380882	Karta
5	1	1	1	18	2	792	1510	171	37	96.148132	płatnicza
5	1	1	1	18	3	1749	1510	132	34	94.892097	241,02
4	1	1	1	19	0	674	1621	1209	38	-1	
5	1	1	1	19	1	674	1622	130	29	96.745384	Numer
5	1	1	1	19	2	817	1621	187	38	95.292694	transakcji
5	1	1	1	19	3	1786	1621	97	30	96.797073	6950
4	1	1	1	20	0	644	3202	1237	32	-1	
5	1	1	1	20	1	644	3202	493	32	92.128998	4612/1/6950/02.01.2026
5	1	1	1	20	2	1650	3202	123	29	96.309158	Strona
5	1	1	1	20	3	1792	3202	18	29	96.330376	2
5	1	1	1	20	4	1829	3210	17	21	93.399849	z
5	1	1	1	20	5	1863	3202	18	29	93.399849	2
