level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1542	2047	-1	
2	1	1	0	0	0	0	279	1514	1365	-1	
3	1	1	1	0	0	0	279	1514	1365	-1	
4	1	1	1	1	0	67	279	723	46	-1	
5	1	1	1	1	1	67	322	3	3	47.858509	a
5	1	1	1	1	2	297	279	55	44	80.543205	INS
5	1	1	1	1	3	379	307	34	6	55.955513	zm
5	1	1	1	1	4	784	318	6	5	31.939575	:
4	1	1	1	2	0	124	466	194	19	-1	
5	1	1	1	2	1	124	469	9	16	1.813553	,
5	1	1	1	2	2	187	466	23	10	14.091858	a
5	1	1	1	2	3	313	478	5	4	82.403427	>
4	1	1	1	3	0	555	509	443	83	-1	
5	1	1	1	3	1	512	576	29	13	59.321194	ay
5	1	1	1	3	2	578	555	24	35	31.291649	ee
5	1	1	1	3	3	614	523	60	61	8.942345	|)
5	1	1	1	3	4	720	547	33	41	93.759674	m
5	1	1	1	3	5	789	547	70	35	84.170517	«m
5	1	1	1	3	6	893	509	105	83	67.431000	m]
4	1	1	1	4	0	135	671	1359	67	-1	
5	1	1	1	4	1	135	731	4	7	36.605701	,
5	1	1	1	4	2	215	705	6	4	27.267517	~
5	1	1	1	4	3	350	694	220	40	36.394226	BASES
5	1	1	1	4	4	585	680	79	23	90.445541	62-025
5	1	1	1	4	5	682	674	97	22	95.623116	KOSTRZYN
5	1	1	1	4	6	809	693	3	3	85.686356	UL.
5	1	1	1	4	7	837	674	64	22	78.843216	ZNIWNA
5	1	1	1	4	8	1052	704	38	16	69.759537	=
5	1	1	1	4	9	1314	671	8	6	49.372257	:
5	1	1	1	4	10	1491	673	3	3	37.465431	-
4	1	1	1	5	0	407	731	561	36	-1	
5	1	1	1	5	1	407	759	8	8	36.415710	>
5	1	1	1	5	2	568	731	174	34	95.308853	PARAGON
5	1	1	1	5	3	773	736	195	24	95.308853	FISKALNY
4	1	1	1	6	0	410	762	684	30	-1	
5	1	1	1	6	1	410	766	44	19	96.268311	lost
5	1	1	1	6	2	474	762	90	30	92.666016	Maślany
5	1	1	1	6	3	581	764	48	25	91.479935	500g
5	1	1	1	6	4	736	766	8	24	58.114906	(
5	1	1	1	6	5	966	770	80	15	0.000000	(x399
5	1	1	1	6	6	1068	775	26	6	0.000000	79
4	1	1	1	7	0	164	791	906	31	-1	
5	1	1	1	7	1	164	810	72	5	43.452892	SZM
5	1	1	1	7	2	407	791	235	31	4.057922	Cistkakitkakao220g
5	1	1	1	7	3	736	799	8	23	46.170227	C
5	1	1	1	7	4	953	818	3	3	61.437157	2
5	1	1	1	7	5	980	798	51	22	32.994926	x5.49
5	1	1	1	7	6	1054	798	16	9	78.884323	10
5	1	1	1	7	7	1088	799	19	16	69.336929	88
4	1	1	1	8	0	73	824	1036	40	-1	
5	1	1	1	8	1	73	862	4	2	18.006897	e
5	1	1	1	8	2	284	834	60	17	40.918221	7
5	1	1	1	8	3	407	827	104	27	53.886677	OLiUELToroRo
5	1	1	1	8	4	528	824	115	36	80.084656	jo2009
5	1	1	1	8	5	737	832	7	24	75.627632	C
5	1	1	1	8	6	954	849	5	4	89.654091	2
5	1	1	1	8	7	981	830	55	23	80.781921	x6,99
5	1	1	1	8	8	1055	830	54	18	95.680946	13,98
4	1	1	1	9	0	14	861	1096	43	-1	
5	1	1	1	9	1	14	901	4	3	0.000000	:
5	1	1	1	9	2	190	871	57	14	14.946022	ante
5	1	1	1	9	3	355	875	5	2	25.087013	s
5	1	1	1	9	4	408	861	261	36	20.718094	 TunczW0l3x140g/3x98q
5	1	1	1	9	5	737	865	8	24	62.578159	C
